Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7995      0.61        1.25    0.050000     0.000     0.000    95.990    25.301       0b0    20181019T171836028659
  120      -4.6350      0.00        0.00    0.048275     0.031     0.063    96.012    25.301       0b0    20181019T171836984025
  110      -4.2475      0.00        0.00    0.044312     0.000     0.000    95.853    25.301       0b0    20181019T171837941035
  100      -3.8612      0.00        0.00    0.040312     0.000     0.000    95.783    25.301       0b0    20181019T171838897352
   90      -3.4751      0.38        1.25    0.036313     0.000     0.000    95.701    25.269       0b0    20181019T171839851499
   80      -3.0888      0.00        0.00    0.032375     0.000     0.000    95.405    25.301       0b0    20181019T171840806111
   70      -2.7025      0.00        0.00    0.028375     0.000     0.000    95.242    25.301       0b0    20181019T171841765318
   60      -2.3137      0.00        0.00    0.024419     0.029     0.063    94.753    25.301       0b0    20181019T171842723582
   50      -1.9275      0.00        0.00    0.020438     0.000     0.000    94.312    25.269       0b0    20181019T171843680940
   40      -1.5425      0.00        0.00    0.016500     0.000     0.000    93.485    25.269       0b0    20181019T171844636169
   30      -1.1550      0.00        0.00    0.012563     0.000     0.000    91.940    25.269       0b0    20181019T171845593161
   20      -0.7700      0.00        0.00    0.008663     0.031     0.063    88.889    25.301       0b0    20181019T171846546732
   10      -0.3845      0.61        1.25    0.004700     0.025     0.063    81.809    25.269       0b0    20181019T171847501962
    0      -0.0000      0.00        0.00    0.000806     0.019     0.063    -0.000    25.238       0b0    20181019T171848458365
