Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7850      0.00        0.00    0.049500     0.000     0.000    96.667    25.555       0b0    20181019T171822145424
  120      -4.5525      0.00        0.00    0.047050     0.025     0.063    96.759    25.523       0b0    20181019T171823101398
  110      -4.1725      0.00        0.00    0.043063     0.000     0.000    96.894    25.555       0b0    20181019T171824057273
  100      -3.7925      0.00        0.00    0.039062     0.000     0.000    97.088    25.555       0b0    20181019T171825013076
   90      -3.4138      0.00        0.00    0.035063     0.000     0.000    97.362    25.523       0b0    20181019T171825969099
   80      -3.0343      0.61        1.25    0.031119     0.019     0.063    97.506    25.523       0b0    20181019T171826924567
   70      -2.6550      0.00        0.00    0.027156     0.031     0.063    97.768    25.523       0b0    20181019T171827879949
   60      -2.2725      0.00        0.00    0.023187     0.000     0.000    98.005    25.491       0b0    20181019T171828835055
   50      -1.8936      0.37        1.25    0.019206     0.029     0.062    98.594    25.523       0b0    20181019T171829791182
   40      -1.5137      0.00        0.00    0.015263     0.025     0.063    99.181    25.523       0b0    20181019T171830759547
   30      -1.1350      0.00        0.00    0.011313     0.000     0.000   100.331    25.523       0b0    20181019T171831720383
   20      -0.7550      0.00        0.00    0.007437     0.000     0.000   101.513    25.523       0b0    20181019T171832675771
   10      -0.3763      0.00        0.00    0.003500     0.000     0.000   107.500    25.491       0b0    20181019T171833630937
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.523       0b0    20181019T171834588458
