Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7638      0.00        0.00    0.084562     0.000     0.000    56.334    23.399    0b1001    20190411T112613656175
  120      -4.7334      0.57        1.25    0.084000     0.000     0.000    56.350    23.399    0b1001    20190411T112614611720
  110      -4.3400      0.00        0.00    0.077187     0.000     0.000    56.227    23.399    0b1001    20190411T112615565336
  100      -3.9463      0.00        0.00    0.070438     0.000     0.000    56.025    23.367    0b1001    20190411T112616520068
   90      -3.5526      0.37        1.25    0.063750     0.000     0.000    55.727    23.399    0b1001    20190411T112617474567
   80      -3.1596      0.57        1.25    0.057063     0.000     0.000    55.371    23.399    0b1001    20190411T112618428825
   70      -2.7662      0.00        0.00    0.050375     0.000     0.000    54.913    23.399    0b1001    20190411T112619386060
   60      -2.3691      0.57        1.25    0.043625     0.000     0.000    54.307    23.399    0b1001    20190411T112620340295
   50      -1.9738      0.00        0.00    0.036875     0.000     0.000    53.525    23.399    0b1001    20190411T112621294237
   40      -1.5787      0.00        0.00    0.030187     0.000     0.000    52.298    23.399    0b1001    20190411T112622249477
   30      -1.1838      0.00        0.00    0.023487     0.025     0.063    50.399    23.399    0b1001    20190411T112623204709
   20      -0.7888      0.00        0.00    0.016813     0.000     0.000    46.914    23.399    0b1001    20190411T112624159699
   10      -0.3950      0.00        0.00    0.010125     0.000     0.000    39.012    23.431    0b1001    20190411T112625113678
    0      -0.0000      0.00        0.00    0.003438     0.000     0.000    -0.000    23.431    0b1001    20190411T112626068533
