Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7713      0.00        0.00    0.079438     0.000     0.000    60.063    25.333    0b1001    20181019T170813807502
  120      -4.5525      0.00        0.00    0.075706     0.029     0.063    60.134    25.365    0b1001    20181019T170814763852
  110      -4.1725      0.00        0.00    0.069312     0.000     0.000    60.198    25.333    0b1001    20181019T170815719805
  100      -3.7925      0.00        0.00    0.062950     0.025     0.062    60.246    25.396    0b1001    20181019T170816674786
   90      -3.4138      0.00        0.00    0.056581     0.029     0.063    60.334    25.365    0b1001    20181019T170817630071
   80      -3.0338      0.00        0.00    0.050244     0.019     0.063    60.381    25.365    0b1001    20181019T170818587750
   70      -2.6543      0.61        1.25    0.043875     0.000     0.000    60.496    25.396    0b1001    20181019T170819543652
   60      -2.2725      0.00        0.00    0.037500     0.000     0.000    60.600    25.396    0b1001    20181019T170820502649
   50      -1.8933      0.61        1.25    0.031181     0.019     0.062    60.718    25.396    0b1001    20181019T170821456826
   40      -1.5137      0.00        0.00    0.024863     0.025     0.063    60.885    25.396    0b1001    20181019T170822414688
   30      -1.1350      0.00        0.00    0.018525     0.031     0.063    61.269    25.396    0b1001    20181019T170823369842
   20      -0.7550      0.00        0.00    0.012262     0.025     0.063    61.570    25.396    0b1001    20181019T170824326023
   10      -0.3763      0.00        0.00    0.005981     0.029     0.063    62.905    25.365    0b1001    20181019T170825282265
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.365    0b1001    20181019T170826238669
