Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.25220     4.38667     23.27204      29.83513     32.40330    0b1111111111111111    20190411T110453552886
 2.25216     4.38500     23.30374      29.83513     32.40330    0b1111111111111111    20190411T110453972410
 2.25216     4.38667     23.30374      29.83513     32.43500    0b1111111111111111    20190411T110454395109
 2.25225     4.38750     23.30374      29.83513     32.43500    0b1111111111111111    20190411T110454817977
 2.25216     4.38917     23.30374      29.83513     32.40330    0b1111111111111111    20190411T110455239703
 2.25220     4.38583     23.33545      29.83513     32.43500    0b1111111111111111    20190411T110455659865
 2.25225     4.38667     23.58909      29.86684     32.43500    0b1111111111111111    20190411T110456082233
 2.25230     4.38667     25.07926      29.86684     28.40837    0b1111111111111111    20190411T110456506246
 2.25239     4.38750     26.91820      29.86684     32.46671    0b1111111111111111    20190411T110456930188
 2.25248     4.38750     28.56690      29.86684     32.46671    0b1111111111111111    20190411T110457353307
 2.25281     4.38667     29.67660      29.86684     32.46671    0b1111111111111111    20190411T110457774924
 2.25300     4.38667     31.26189      29.89854     32.49841    0b1111111111111111    20190411T110458198295
 2.25314     4.38833     32.56183      29.86684     32.49841    0b1111111111111111    20190411T110458619912
 2.25333     4.38833     33.92517      29.89854     32.49841    0b1111111111111111    20190411T110459040768
 2.25361     4.38833     35.06658      29.89854     32.53012    0b1111111111111111    20190411T110459461278
 2.25366     4.38833     36.23970      29.89854     32.46671    0b1111111111111111    20190411T110459882650
 2.25389     4.38833     37.72987      29.86684     32.49841    0b1111111111111111    20190411T110500304000
 2.25398     4.39083     38.87127      29.86684     32.53012    0b1111111111111111    20190411T110500724520
 2.25427     4.38917     40.26633      29.89854     32.49841    0b1111111111111111    20190411T110501147994
 2.25436     4.39083     41.34432      29.86684     32.53012    0b1111111111111111    20190411T110501571738
 2.25455     4.38917     42.48573      29.89854     32.53012    0b1111111111111111    20190411T110501993858
 2.25473     4.39167     43.78567      29.89854     32.53012    0b1111111111111111    20190411T110502413082
 2.25488     4.39250     44.95878      29.89854     32.53012    0b1111111111111111    20190411T110502830977
 2.25502     4.39250     46.13190      29.93025     32.56183    0b1111111111111111    20190411T110503248924
 2.25511     4.39083     47.05136      29.89854     32.56183    0b1111111111111111    20190411T110503667290
 2.25516     4.39250     47.87571      29.89854     32.59353    0b1111111111111111    20190411T110504086408
 2.25544     4.39167     48.54153      29.89854     32.56183    0b1111111111111111    20190411T110504505950
 2.25558     4.39167     49.33418      29.93025     32.56183    0b1111111111111111    20190411T110504924653
 2.25562     4.39333     49.87318      29.93025     32.56183    0b1111111111111111    20190411T110505342863
 2.25577     4.39250     50.72923      29.93025     32.56183    0b1111111111111111    20190411T110505761868
 2.25581     4.39000     51.52188      29.93025     32.59353    0b1111111111111111    20190411T110506180850
 2.25595     4.39083     52.44134      29.89854     32.56183    0b1111111111111111    20190411T110506600389
 2.25614     4.39250     53.17058      29.93025     32.59353    0b1111111111111111    20190411T110507018852
 2.25628     4.39333     53.36081      29.93025     32.59353    0b1111111111111111    20190411T110507436903
 2.25628     4.39417     53.64616      29.93025     32.59353    0b1111111111111111    20190411T110507854352
 2.25637     4.39417     54.12175      29.93025     32.59353    0b1111111111111111    20190411T110508273714
 2.25637     4.39583     54.47051      29.93025     32.59353    0b1111111111111111    20190411T110508692357
 2.25656     4.39583     54.97781      29.93025     32.56183    0b1111111111111111    20190411T110509111463
 2.25670     4.39583     55.48510      29.93025     32.59353    0b1111111111111111    20190411T110509530481
 2.25684     4.39500     55.89727      29.93025     32.59353    0b1111111111111111    20190411T110509949959
 2.25680     4.39500     56.15092      29.93025     32.59353    0b1111111111111111    20190411T110510368407
 2.25698     4.39417     56.68992      29.96195     32.59353    0b1111111111111111    20190411T110510786182
 2.25722     4.39750     57.16550      29.93025     32.59353    0b1111111111111111    20190411T110511204376
 2.25722     4.39750     57.57768      29.96195     32.59353    0b1111111111111111    20190411T110511621942
 2.25727     4.39583     57.98985      29.96195     32.62524    0b1111111111111111    20190411T110512041163
 2.25745     4.39750     58.24350      29.96195     32.59353    0b1111111111111111    20190411T110512461449
 2.25759     4.39750     58.65568      29.93025     32.62524    0b1111111111111111    20190411T110512880151
 2.25759     4.39583     59.00444      29.93025     32.62524    0b1111111111111111    20190411T110513299045
 2.25764     4.39583     59.32150      29.99366     32.59353    0b1111111111111111    20190411T110513717178
 2.25773     4.39667     59.54344      29.96195     32.62524    0b1111111111111111    20190411T110514135513
 2.25778     4.39750     59.95561      29.93025     32.59353    0b1111111111111111    20190411T110514555016
 2.25802     4.39750     60.33608      29.96195     32.62524    0b1111111111111111    20190411T110514974367
 2.25806     4.39917     60.49461      29.96195     32.62524    0b1111111111111111    20190411T110515393650
 2.25802     4.39750     60.77996      29.96195     32.65694    0b1111111111111111    20190411T110515812643
 2.25816     4.39917     61.09702      29.96195     32.62524    0b1111111111111111    20190411T110516232515
 2.25820     4.39750     61.44578      29.96195     32.62524    0b1111111111111111    20190411T110516652382
 2.25830     4.39833     61.82625      29.93025     32.62524    0b1111111111111111    20190411T110517072081
 2.25839     4.39667     62.23843      29.96195     32.62524    0b1111111111111111    20190411T110517489703
 2.25848     4.40000     62.55549      29.96195     32.65694    0b1111111111111111    20190411T110517907942
 2.25853     4.39917     62.77743      29.99366     32.62524    0b1111111111111111    20190411T110518326986
 2.25863     4.39917     62.84084      29.99366     32.62524    0b1111111111111111    20190411T110518745680
 2.25863     4.40167     63.18960      29.96195     32.62524    0b1111111111111111    20190411T110519165660
 2.25877     4.40167     63.63348      29.99366     32.65694    0b1111111111111111    20190411T110519583296
 2.25877     4.40083     63.82372      29.96195     32.65694    0b1111111111111111    20190411T110520001586
 2.25891     4.40000     63.95054      29.96195     32.65694    0b1111111111111111    20190411T110520421069
 2.25895     4.40000     64.23589      29.99366     32.62524    0b1111111111111111    20190411T110520840398
 2.25905     4.39917     64.17248      29.99366     32.65694    0b1111111111111111    20190411T110521259252
 2.25905     4.40000     64.39442      29.96195     32.65694    0b1111111111111111    20190411T110521677759
 2.25909     4.40000     64.42613      30.02536     32.65694    0b1111111111111111    20190411T110522095994
 2.25919     4.39833     64.58465      29.99366     32.65694    0b1111111111111111    20190411T110522514237
 2.25923     4.40083     64.83830      29.99366     32.65694    0b1111111111111111    20190411T110522932902
 2.25933     4.40333     64.93342      29.99366     32.65694    0b1111111111111111    20190411T110523351229
 2.25938     4.40167     65.09195      29.96195     32.65694    0b1111111111111111    20190411T110523770393
 2.25938     4.40167     65.21877      29.99366     32.68865    0b1111111111111111    20190411T110524190196
 2.25942     4.40333     65.44071      29.99366     32.65694    0b1111111111111111    20190411T110524608974
 2.25956     4.40167     65.53583      29.99366     32.65694    0b1111111111111111    20190411T110525029247
 2.25952     4.40083     65.72606      29.99366     32.68865    0b1111111111111111    20190411T110525447837
 2.25970     4.40000     65.85289      29.99366     32.65694    0b1111111111111111    20190411T110525866314
 2.25970     4.40250     66.01141      29.99366     32.68865    0b1111111111111111    20190411T110526284636
 2.25975     4.40083     66.16994      30.02536     32.65694    0b1111111111111111    20190411T110526702602
 2.25984     4.40000     66.26506      29.99366     32.68865    0b1111111111111111    20190411T110527121448
 2.25989     4.40167     66.26506      29.99366     32.65694    0b1111111111111111    20190411T110527540802
 2.25989     4.40167     66.48700      29.99366     32.65694    0b1111111111111111    20190411T110527960573
 2.25998     4.40000     66.61382      29.99366     32.65694    0b1111111111111111    20190411T110528381154
 2.26003     4.40250     66.77235      29.99366     32.68865    0b1111111111111111    20190411T110528799767
 2.26008     4.40250     66.96259      29.99366     32.65694    0b1111111111111111    20190411T110529219385
 2.25998     4.40250     67.18453      29.99366     32.68865    0b1111111111111111    20190411T110529638797
 0.00000    -0.06250     67.34306      29.99366     32.68865    0b1111111111111111    20190411T110530056899
