Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.24208     4.35583     25.42803      30.31072     29.42295    0b1111111111111111    20181019T163952130246
 2.24231     4.35417     26.85479      30.31072     29.45466    0b1111111111111111    20181019T163952554096
 2.24273     4.35833     28.88396      30.34242     29.45466    0b1111111111111111    20181019T163952972479
 2.24344     4.35833     30.62777      30.34242     29.48637    0b1111111111111111    20181019T163953391439
 2.24395     4.35833     32.72036      30.34242     29.48637    0b1111111111111111    20181019T163953810325
 2.24456     4.35917     34.74952      30.37413     29.48637    0b1111111111111111    20181019T163954231319
 2.24517     4.36250     36.58846      30.37413     29.48637    0b1111111111111111    20181019T163954651410
 2.24555     4.36417     37.98351      30.37413     29.51807    0b1111111111111111    20181019T163955069368
 2.24606     4.36583     39.50539      30.37413     29.51807    0b1111111111111111    20181019T163955487878
 2.24644     4.36500     40.96386      30.37413     29.51807    0b1111111111111111    20181019T163955905771
 2.24681     4.36250     42.23209      30.40583     29.51807    0b1111111111111111    20181019T163956325031
 2.24709     4.36667     43.37349      30.34242     29.51807    0b1111111111111111    20181019T163956745608
 2.24756     4.36583     44.57831      30.40583     29.51807    0b1111111111111111    20181019T163957163947
 2.24780     4.36750     45.90996      30.37413     29.51807    0b1111111111111111    20181019T163957582221
 2.24808     4.36750     46.98795      30.40583     29.51807    0b1111111111111111    20181019T163958001009
 2.24836     4.36833     48.09765      30.37413     29.51807    0b1111111111111111    20181019T163958418724
 2.24859     4.36750     48.98542      30.37413     29.51807    0b1111111111111111    20181019T163958837069
 2.24887     4.36917     50.09512      30.37413     29.51807    0b1111111111111111    20181019T163959255439
 2.24902     4.37083     50.91947      30.40583     29.51807    0b1111111111111111    20181019T163959674005
 2.24930     4.36667     51.77552      30.40583     29.54978    0b1111111111111111    20181019T164000093563
 2.24953     4.37167     52.69499      30.37413     29.54978    0b1111111111111111    20181019T164000512468
 2.24977     4.37167     53.58275      30.40583     29.54978    0b1111111111111111    20181019T164000931335
 2.24991     4.37083     54.43881      30.40583     29.54978    0b1111111111111111    20181019T164001349279
 2.25014     4.36917     55.29486      30.37413     29.54978    0b1111111111111111    20181019T164001768808
 2.25038     4.37167     56.05580      30.37413     29.54978    0b1111111111111111    20181019T164002189267
 2.25056     4.37167     56.62651      30.37413     29.54978    0b1111111111111111    20181019T164002614291
 2.25075     4.37250     57.26062      30.40583     29.54978    0b1111111111111111    20181019T164003032432
 2.25089     4.37250     57.95815      30.40583     29.54978    0b1111111111111111    20181019T164003451244
 2.25108     4.37500     58.59226      30.40583     29.54978    0b1111111111111111    20181019T164003869620
 2.25131     4.37500     59.06785      30.40583     29.54978    0b1111111111111111    20181019T164004288531
 2.25141     4.37500     59.73367      30.40583     29.54978    0b1111111111111111    20181019T164004707862
 2.25155     4.37500     60.27267      30.37413     29.54978    0b1111111111111111    20181019T164005128069
 2.25169     4.37583     56.81674      30.40583     29.58148    0b1111111111111111    20181019T164005546847
 2.25188     4.37500     61.47749      30.40583     29.54978    0b1111111111111111    20181019T164005964775
 2.25197     4.37417     61.95308      30.40583     29.54978    0b1111111111111111    20181019T164006382687
 2.25211     4.37583     62.42866      30.37413     29.54978    0b1111111111111111    20181019T164006801342
 2.25220     4.37417     62.96766      30.40583     29.54978    0b1111111111111111    20181019T164007220590
 2.25244     4.37583     63.41154      30.40583     29.58148    0b1111111111111111    20181019T164007640352
 2.25253     4.37667     63.79201      30.40583     29.61319    0b1111111111111111    20181019T164008059462
 2.25263     4.37667     64.29930      30.40583     29.58148    0b1111111111111111    20181019T164008478163
 2.25272     4.37500     64.67977      30.40583     29.58148    0b1111111111111111    20181019T164008896601
 2.25291     4.37750     65.15536      30.40583     29.58148    0b1111111111111111    20181019T164009315529
 2.25300     4.37667     65.47242      30.40583     29.58148    0b1111111111111111    20181019T164009735031
 2.11186     3.85833     65.85289      30.40583     29.58148    0b1111111111111111    20181019T164010153757
 0.00000    -0.06167     66.23335      30.43754     29.58148    0b1111111111111111    20181019T164010573415
