CH# Vset[DAC]   V[V]    dVRMS[mV] dVpp[mV]    I[A]  dIRMS[mA] dIpp[mA]   R[ohm]   T[C]   State                Timestamp
 0     250     1.4578    594.6    2400.0     0.0218    429.9  884.2      66.768   16.2   0b1111111111111111    20191105T085921166593
 1     250     1.1005    782.6    2304.0     1.6094    671.3 2563.3       0.684   16.2   0b1111111111111111    20191105T085921167073
 2     250     0.9951    966.0    2413.5     0.1161    429.2  883.3       8.572   16.2   0b1111111111111111    20191105T085921167392
 3     250     1.1481    703.2    1778.2     0.8698    794.7 1868.3       1.320   16.2   0b1111111111111111    20191105T085921167690
 4     250     1.2767    733.6    2317.5     0.1082    429.7  886.7      11.803   16.2   0b1111111111111111    20191105T085921168030
 5     250     0.9184    740.6    1789.5     0.9474    793.5 1867.5       0.969   16.2   0b1111111111111111    20191105T085921168325
 6     250     1.5818    632.0    1932.8     0.1968    418.2  879.2       8.036   16.2   0b1111111111111111    20191105T085921168613
 7     250     0.9958    787.5    1775.2     1.2013    768.7 2666.7       0.829   16.2   0b1111111111111111    20191105T085921168939
 8     250     1.0551    693.7    1632.0     0.1906    421.4  883.3       5.536   16.2   0b1111111111111111    20191105T085921169082
 9     250     1.3688    784.8    2302.5     1.1307    985.2 2835.0       1.211   16.2   0b1111111111111111    20191105T085921169247
10     250     1.5266    826.1    2388.0     0.3673    343.3  885.0       4.156   16.2   0b1111111111111111    20191105T085921169389
11     250     1.3316    774.3    2400.0     0.7958    778.4 1920.0       1.673   16.2   0b1111111111111111    20191105T085921169529
12     250     1.3594    514.5    1632.8    -0.0572    386.6  880.0    -666.000   16.2   0b1111111111111111    20191105T085921169667
13     250     1.7393    214.2     780.0     1.1773    974.6 2775.8       1.477   16.2   0b1111111111111111    20191105T085921169840
14     250     0.8410    824.9    2401.5     0.0276    413.4  877.5      30.489   16.2   0b1111111111111111    20191105T085921169983
15     250     1.3527    632.5    1764.0     1.3111    476.4 1706.7       1.032   16.2   0b1111111111111111    20191105T085921170121
