Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7812      0.00        0.00    0.071750     0.000     0.000    66.638    23.082    0b1111    20181009T161248789074
  120      -4.5537      0.00        0.00    0.068375     0.000     0.000    66.600    23.082    0b1111    20181009T161249850420
  110      -4.1727      0.50        1.25    0.062813     0.000     0.000    66.432    23.114    0b1111    20181009T161250912892
  100      -3.7938      0.00        0.00    0.057187     0.000     0.000    66.339    23.082    0b1111    20181009T161251974720
   90      -3.4138      0.00        0.00    0.051625     0.000     0.000    66.126    23.114    0b1111    20181009T161253035619
   80      -3.0338      0.00        0.00    0.046000     0.000     0.000    65.951    23.145    0b1111    20181009T161254092978
   70      -2.6537      0.00        0.00    0.040444     0.019     0.063    65.616    23.145    0b1111    20181009T161255145335
   60      -2.2720      0.61        1.25    0.034875     0.000     0.000    65.147    23.114    0b1111    20181009T161256197670
   50      -1.8925      0.00        0.00    0.029313     0.000     0.000    64.563    23.114    0b1111    20181009T161257248558
   40      -1.5137      0.00        0.00    0.023750     0.000     0.000    63.737    23.114    0b1111    20181009T161258309906
   30      -1.1350      0.00        0.00    0.018194     0.019     0.062    62.384    23.114    0b1111    20181009T161259362113
   20      -0.7550      0.00        0.00    0.012688     0.000     0.000    59.507    23.145    0b1111    20181009T161300413272
   10      -0.3763      0.00        0.00    0.007188     0.000     0.000    52.348    23.145    0b1111    20181009T161301464700
    0      -0.0000      0.00        0.00    0.001663     0.031     0.063    -0.000    23.145    0b1111    20181009T161302518101
