Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7613      0.00        0.00    0.069813     0.000     0.000    68.201    24.033     0b111    20181018T165624727828
  120      -4.5764      0.37        1.25    0.067300     0.025     0.062    68.000    24.065     0b111    20181018T165625684680
  110      -4.1938      0.00        0.00    0.062169     0.029     0.063    67.458    24.065     0b111    20181018T165626642627
  100      -3.8125      0.00        0.00    0.057038     0.031     0.062    66.842    24.065     0b111    20181018T165627601303
   90      -3.4312      0.00        0.00    0.051925     0.025     0.063    66.081    24.065     0b111    20181018T165628557092
   80      -3.0495      0.61        1.25    0.046812     0.000     0.000    65.143    24.065     0b111    20181018T165629511619
   70      -2.6675      0.00        0.00    0.041687     0.000     0.000    63.988    24.096     0b111    20181018T165630467057
   60      -2.2838      0.00        0.00    0.036519     0.029     0.063    62.536    24.096     0b111    20181018T165631424842
   50      -1.9025      0.00        0.00    0.031431     0.019     0.063    60.529    24.096     0b111    20181018T165632379443
   40      -1.5210      0.50        1.25    0.026312     0.000     0.000    57.805    24.128     0b111    20181018T165633336680
   30      -1.1400      0.00        0.00    0.021188     0.000     0.000    53.805    24.096     0b111    20181018T165634294370
   20      -0.7578      0.50        1.25    0.016156     0.031     0.063    46.901    24.096     0b111    20181018T165635256635
   10      -0.3775      0.00        0.00    0.011025     0.031     0.063    34.240    24.128     0b111    20181018T165636219749
    0      -0.0000      0.00        0.00    0.005937     0.000     0.000    -0.000    24.128     0b111    20181018T165637185387
