Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.25141     4.36833     22.73304      29.77172     29.20101    0b1111111111111111    20190412T141753421242
 2.25141     4.36750     22.70133      29.77172     29.23272    0b1111111111111111    20190412T141753841199
 2.25141     4.37000     22.73304      29.77172     29.23272    0b1111111111111111    20190412T141754259185
 2.25145     4.37083     22.73304      29.77172     29.20101    0b1111111111111111    20190412T141754677469
 2.25141     4.37000     22.73304      29.80342     29.23272    0b1111111111111111    20190412T141755096139
 2.25141     4.36917     22.73304      29.74001     29.23272    0b1111111111111111    20190412T141755515809
 2.25136     4.36750     22.76474      29.80342     29.23272    0b1111111111111111    20190412T141755935450
 2.25145     4.36833     22.76474      29.77172     29.26443    0b1111111111111111    20190412T141756355691
 2.25141     4.37000     22.76474      29.74001     29.23272    0b1111111111111111    20190412T141756775392
 2.25136     4.36917     22.76474      29.80342     29.23272    0b1111111111111111    20190412T141757193745
 2.25141     4.37000     22.76474      29.80342     29.23272    0b1111111111111111    20190412T141757612922
 2.25136     4.36833     22.79645      29.77172     29.26443    0b1111111111111111    20190412T141758031854
 2.25145     4.37083     22.76474      29.80342     29.23272    0b1111111111111111    20190412T141758451033
 2.25145     4.36833     22.79645      29.77172     29.26443    0b1111111111111111    20190412T141758868855
 2.25141     4.37000     22.79645      29.77172     29.26443    0b1111111111111111    20190412T141759287474
 2.25145     4.36917     22.82815      29.80342     29.23272    0b1111111111111111    20190412T141759706513
 2.25150     4.36917     22.82815      29.80342     29.23272    0b1111111111111111    20190412T141800128462
 2.25155     4.36917     22.85986      29.80342     29.26443    0b1111111111111111    20190412T141800546624
 2.25225     4.37167     24.60368      29.77172     29.26443    0b1111111111111111    20190412T141800965631
 2.25291     4.37083     27.52061      29.80342     29.29613    0b1111111111111111    20190412T141801384841
 2.25342     4.37333     29.39125      29.80342     29.26443    0b1111111111111111    20190412T141801802680
 2.25380     4.37333     30.40583      29.80342     29.26443    0b1111111111111111    20190412T141802220419
 2.25431     4.37500     31.70577      29.80342     29.29613    0b1111111111111111    20190412T141802639299
 2.25459     4.37250     32.97400      29.80342     29.29613    0b1111111111111111    20190412T141803057956
 2.25506     4.37583     35.03488      29.80342     29.29613    0b1111111111111111    20190412T141803476662
 2.25544     4.37417     37.03234      29.80342     29.29613    0b1111111111111111    20190412T141803895569
 2.25591     4.37583     38.93469      29.80342     29.29613    0b1111111111111111    20190412T141804313933
 2.25642     4.37750     36.55675      29.80342     29.29613    0b1111111111111111    20190412T141804734259
 2.25675     4.37583     41.97844      29.80342     29.29613    0b1111111111111111    20190412T141805152798
 2.25708     4.37917     43.27838      29.80342     29.29613    0b1111111111111111    20190412T141805571791
 2.25755     4.37833     44.67343      29.80342     29.29613    0b1111111111111111    20190412T141805990044
 2.25778     4.38083     46.06848      29.80342     29.29613    0b1111111111111111    20190412T141806408001
 2.25816     4.37917     47.17819      29.83513     29.29613    0b1111111111111111    20190412T141806826401
 2.25834     4.38167     48.28789      29.83513     29.32784    0b1111111111111111    20190412T141807246968
 2.25877     4.38333     49.39759      29.80342     29.29613    0b1111111111111111    20190412T141807666085
 2.25895     4.38417     50.50729      29.83513     29.32784    0b1111111111111111    20190412T141808084442
 2.25933     4.38333     51.52188      29.83513     29.32784    0b1111111111111111    20190412T141808502494
 2.25961     4.38333     52.47305      29.83513     29.29613    0b1111111111111111    20190412T141808921694
 2.25984     4.38500     53.32911      29.83513     29.32784    0b1111111111111111    20190412T141809339834
 2.25989     4.38500     54.31198      29.80342     29.29613    0b1111111111111111    20190412T141809758681
 2.26017     4.38500     55.10463      29.80342     29.29613    0b1111111111111111    20190412T141810176879
 2.26045     4.38500     55.96068      29.80342     29.35954    0b1111111111111111    20190412T141810594661
 2.26055     4.38750     56.59480      29.80342     29.32784    0b1111111111111111    20190412T141811013453
 2.26087     4.38750     57.35574      29.80342     29.29613    0b1111111111111111    20190412T141811433804
 2.26092     4.38917     58.02156      29.80342     29.32784    0b1111111111111111    20190412T141811852065
 2.26125     4.39000     58.65568      29.80342     29.32784    0b1111111111111111    20190412T141812270250
 2.26125     4.38750     59.16297      29.83513     29.32784    0b1111111111111111    20190412T141812689637
 2.26153     4.38917     59.73367      29.83513     29.32784    0b1111111111111111    20190412T141813108485
 2.26172     4.38750     60.20926      29.80342     29.32784    0b1111111111111111    20190412T141813527636
 2.26181     4.38917     60.77996      29.80342     29.35954    0b1111111111111111    20190412T141813945979
 2.26186     4.39000     61.31896      29.80342     29.35954    0b1111111111111111    20190412T141814363102
 2.26214     4.39000     61.76284      29.80342     29.32784    0b1111111111111111    20190412T141814781720
 2.26228     4.39083     62.27013      29.83513     29.32784    0b1111111111111111    20190412T141815202258
 2.26238     4.39083     62.87254      29.83513     29.32784    0b1111111111111111    20190412T141815621600
 2.26247     4.39083     63.31642      29.80342     29.35954    0b1111111111111111    20190412T141816039494
 2.26261     4.39250     63.79201      29.83513     29.32784    0b1111111111111111    20190412T141816457690
 0.00052     0.10083     64.14077      29.83513     29.32784    0b1111111111111111    20190412T141816875951
