Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7762      0.00        0.00    0.051562     0.000     0.000    92.630    24.192       0b0    20190524T163426034927
  120      -4.5500      0.00        0.00    0.049188     0.000     0.000    92.503    24.192       0b0    20190524T163426992441
  110      -4.1700      0.00        0.00    0.045187     0.000     0.000    92.282    24.223       0b0    20190524T163427948435
  100      -3.7913      0.00        0.00    0.041187     0.000     0.000    92.049    24.192       0b0    20190524T163428905426
   90      -3.4125      0.00        0.00    0.037187     0.000     0.000    91.765    24.192       0b0    20190524T163429861783
   80      -3.0325      0.00        0.00    0.033238     0.025     0.063    91.237    24.192       0b0    20190524T163430818406
   70      -2.6537      0.00        0.00    0.029250     0.000     0.000    90.726    24.192       0b0    20190524T163431776124
   60      -2.2717      0.61        1.25    0.025250     0.000     0.000    89.970    24.192       0b0    20190524T163432734713
   50      -1.8925      0.00        0.00    0.021262     0.025     0.063    89.006    24.192       0b0    20190524T163433691091
   40      -1.5137      0.00        0.00    0.017313     0.000     0.000    87.437    24.223       0b0    20190524T163434646453
   30      -1.1337      0.00        0.00    0.013338     0.031     0.063    85.005    24.192       0b0    20190524T163435600188
   20      -0.7550      0.00        0.00    0.009437     0.000     0.000    80.000    24.160       0b0    20190524T163436560453
   10      -0.3750      0.00        0.00    0.005437     0.000     0.000    68.966    24.192       0b0    20190524T163437518165
    0      -0.0000      0.00        0.00    0.001500     0.000     0.000    -0.000    24.192       0b0    20190524T163438473157
