Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7652      0.50        1.25    0.075125     0.000     0.000    63.431    24.984    0b1001    20190603T155410705593
  120      -4.5075      0.00        0.00    0.070625     0.000     0.000    63.823    24.984    0b1001    20190603T155411660682
  110      -4.1303      0.50        1.25    0.064162     0.031     0.062    64.372    24.952    0b1001    20190603T155412620293
  100      -3.7550      0.00        0.00    0.057750     0.000     0.000    65.022    24.984    0b1001    20190603T155413577919
   90      -3.3800      0.00        0.00    0.051312     0.000     0.000    65.871    24.984    0b1001    20190603T155414533407
   80      -3.0038      0.00        0.00    0.044875     0.000     0.000    66.936    24.984    0b1001    20190603T155415491714
   70      -2.6275      0.00        0.00    0.038500     0.000     0.000    68.247    24.984    0b1001    20190603T155416449330
   60      -2.2500      0.00        0.00    0.032063     0.000     0.000    70.175    25.016    0b1001    20190603T155417409094
   50      -1.8738      0.00        0.00    0.025681     0.019     0.063    72.962    24.984    0b1001    20190603T155418367787
   40      -1.4986      0.37        1.25    0.019250     0.000     0.000    77.851    24.984    0b1001    20190603T155419323570
   30      -1.1225      0.00        0.00    0.012881     0.019     0.062    87.142    24.984    0b1001    20190603T155420282805
   20      -0.7475      0.00        0.00    0.006569     0.019     0.063   113.796    25.016    0b1001    20190603T155421244730
   10      -0.3712      0.00        0.00    0.000250     0.000     0.000  1485.000    24.984    0b1001    20190603T155422202865
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.016    0b1001    20190603T155423160984
