Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7676      0.37        1.25    0.073625     0.000     0.000    64.756    22.796    0b1001    20190531T102256360456
  120      -4.5646      0.57        1.25    0.070063     0.000     0.000    65.151    22.828    0b1001    20190531T102257320660
  110      -4.1838      0.00        0.00    0.063500     0.000     0.000    65.886    22.828    0b1001    20190531T102258277608
  100      -3.8037      0.00        0.00    0.056937     0.000     0.000    66.806    22.828    0b1001    20190531T102259234254
   90      -3.4237      0.00        0.00    0.050438     0.000     0.000    67.881    22.860    0b1001    20190531T102300193896
   80      -3.0434      0.57        1.25    0.043938     0.000     0.000    69.266    22.860    0b1001    20190531T102301164382
   70      -2.6625      0.00        0.00    0.037438     0.000     0.000    71.119    22.860    0b1001    20190531T102302127629
   60      -2.2800      0.00        0.00    0.030875     0.000     0.000    73.846    22.892    0b1001    20190531T102303097697
   50      -1.8990      0.50        1.25    0.024375     0.000     0.000    77.908    22.860    0b1001    20190531T102304068791
   40      -1.5188      0.00        0.00    0.017875     0.000     0.000    84.965    22.860    0b1001    20190531T102305027802
   30      -1.1387      0.00        0.00    0.011375     0.000     0.000   100.110    22.860    0b1001    20190531T102305987150
   20      -0.7575      0.00        0.00    0.004937     0.000     0.000   153.418    22.860    0b1001    20190531T102306948539
   10      -0.3775      0.00        0.00    0.000000     0.000     0.000     1.000    22.892    0b1001    20190531T102307918777
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    22.892    0b1001    20190531T102308883724
