Vavg[V]      Itot[A]     Tboard[C]     Taux1[C]     Taux2[C]     LUstate              Timestamp
 2.23594     4.34333     29.93025      35.03488     34.14711    0b1111111111111111    20190611T130810483185
 2.23603     4.34083     29.96195      35.03488     34.14711    0b1111111111111111    20190611T130810902936
 2.23598     4.34167     29.96195      35.00317     34.17882    0b1111111111111111    20190611T130811322436
 2.23598     4.34333     29.96195      35.03488     34.17882    0b1111111111111111    20190611T130811743653
 2.23598     4.34167     30.59607      35.03488     34.14711    0b1111111111111111    20190611T130812164922
 2.23612     4.34333     32.30818      35.03488     34.17882    0b1111111111111111    20190611T130812585683
 2.23612     4.34167     33.54471      35.03488     34.17882    0b1111111111111111    20190611T130813006138
 2.23627     4.34167     34.74952      35.06658     34.21053    0b1111111111111111    20190611T130813425607
 2.23645     4.34167     36.08117      35.03488     34.17882    0b1111111111111111    20190611T130813850039
 2.23645     4.34417     37.38110      35.03488     34.21053    0b1111111111111111    20190611T130814271157
 2.23659     4.34167     38.71275      35.06658     34.21053    0b1111111111111111    20190611T130814691776
 2.23678     4.34333     39.94927      35.06658     34.17882    0b1111111111111111    20190611T130815111767
 2.23678     4.34083     41.05897      35.06658     34.21053    0b1111111111111111    20190611T130815531471
 2.23706     4.34417     42.04185      35.06658     34.21053    0b1111111111111111    20190611T130815951723
 2.23711     4.34417     43.02473      35.06658     34.21053    0b1111111111111111    20190611T130816371751
 2.23711     4.34333     44.07102      35.06658     34.21053    0b1111111111111111    20190611T130816792500
 2.23725     4.34417     45.14902      35.09829     34.21053    0b1111111111111111    20190611T130817213453
 2.23734     4.34417     46.06848      35.06658     34.21053    0b1111111111111111    20190611T130817634589
 2.23748     4.34417     46.82942      35.06658     34.21053    0b1111111111111111    20190611T130818053716
 2.23748     4.34583     47.68548      35.06658     34.24223    0b1111111111111111    20190611T130818474103
 2.23781     4.34500     48.35130      35.09829     34.24223    0b1111111111111111    20190611T130818894233
 2.23781     4.34583     49.14394      35.06658     34.24223    0b1111111111111111    20190611T130819313660
 2.23786     4.34667     49.80977      35.06658     34.21053    0b1111111111111111    20190611T130819733169
 2.23786     4.34583     50.57070      35.09829     34.24223    0b1111111111111111    20190611T130820153157
 2.23805     4.34500     51.20482      35.06658     34.21053    0b1111111111111111    20190611T130820573335
 2.23814     4.34583     51.99746      35.09829     34.24223    0b1111111111111111    20190611T130820994398
 2.23819     4.34750     52.50476      35.06658     34.24223    0b1111111111111111    20190611T130821414508
 2.23819     4.34667     53.07546      35.09829     34.24223    0b1111111111111111    20190611T130821835867
 2.23819     4.34500     53.61446      35.09829     34.24223    0b1111111111111111    20190611T130822256004
 2.23847     4.34833     54.18516      35.12999     34.27394    0b1111111111111111    20190611T130822677016
 2.23856     4.34667     54.81928      35.06658     34.24223    0b1111111111111111    20190611T130823098263
 2.23852     4.34667     55.29486      35.09829     34.24223    0b1111111111111111    20190611T130823518906
 2.23870     4.34750     55.70704      35.09829     34.27394    0b1111111111111111    20190611T130823938899
 2.23889     4.34583     55.99239      35.09829     34.27394    0b1111111111111111    20190611T130824359654
 2.23889     4.34833     56.43627      35.09829     34.27394    0b1111111111111111    20190611T130824781075
 2.23894     4.35083     56.81674      35.12999     34.27394    0b1111111111111111    20190611T130825201752
 2.23898     4.34667     57.03868      35.12999     34.24223    0b1111111111111111    20190611T130825623372
 2.23903     4.34833     57.57768      35.09829     34.27394    0b1111111111111111    20190611T130826044617
 2.23913     4.34833     57.98985      35.12999     34.27394    0b1111111111111111    20190611T130826464887
 2.23917     4.35000     58.40203      35.12999     34.27394    0b1111111111111111    20190611T130826891144
 2.23941     4.34583     58.71909      35.12999     34.27394    0b1111111111111111    20190611T130827313594
 2.23945     4.34917     58.97273      35.12999     34.24223    0b1111111111111111    20190611T130827734594
 2.23950     4.35083     59.32150      35.12999     34.27394    0b1111111111111111    20190611T130828155294
 2.23955     4.35083     59.60685      35.12999     34.24223    0b1111111111111111    20190611T130828574511
 2.23955     4.34917     59.86049      35.12999     34.27394    0b1111111111111111    20190611T130828994539
 2.23955     4.34917     60.11414      35.16170     34.27394    0b1111111111111111    20190611T130829415809
 2.23959     4.35000     60.33608      35.12999     34.27394    0b1111111111111111    20190611T130829836944
 2.23959     4.35167     60.58973      35.12999     34.27394    0b1111111111111111    20190611T130830257656
 2.23959     4.35083     61.00190      35.12999     34.27394    0b1111111111111111    20190611T130830678800
 2.23969     4.35167     61.22384      35.09829     34.27394    0b1111111111111111    20190611T130831099046
