Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7865      0.50        1.25    0.058313     0.000     0.000    82.084    25.460    0b1111    20190604T155153854767
  120      -4.5619      0.62        1.25    0.054938     0.000     0.000    83.038    25.491    0b1111    20190604T155154813862
  110      -4.1800      0.00        0.00    0.049312     0.000     0.000    84.766    25.491    0b1111    20190604T155155770924
  100      -3.7996      0.57        1.25    0.043687     0.000     0.000    86.973    25.523    0b1111    20190604T155156726951
   90      -3.4192      0.61        1.25    0.038062     0.000     0.000    89.833    25.491    0b1111    20190604T155157685846
   80      -3.0388      0.00        0.00    0.032438     0.000     0.000    93.680    25.555    0b1111    20190604T155158643796
   70      -2.6575      0.00        0.00    0.026812     0.000     0.000    99.114    25.523    0b1111    20190604T155159602084
   60      -2.2750      0.00        0.00    0.021125     0.000     0.000   107.692    25.523    0b1111    20190604T155200559728
   50      -1.8938      0.00        0.00    0.015525     0.031     0.063   121.981    25.523    0b1111    20190604T155201518851
   40      -1.5137      0.00        0.00    0.009938     0.000     0.000   152.327    25.555    0b1111    20190604T155202477323
   30      -1.1325      0.00        0.00    0.004312     0.000     0.000   262.609    25.523    0b1111    20190604T155203435059
   20      -0.7525      0.00        0.00    0.000000     0.000     0.000     1.000    25.523    0b1111    20190604T155204392437
   10      -0.3719      0.62        1.25    0.000000     0.000     0.000     1.000    25.555    0b1111    20190604T155205350533
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    25.491    0b1111    20190604T155206309373
