Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7704      0.57        1.25    0.067125     0.000     0.000    71.067    24.826     0b111    20190618T163154136151
  120      -4.6025      0.00        0.00    0.064756     0.019     0.063    71.074    24.794     0b111    20190618T163155100144
  110      -4.2171      0.57        1.25    0.059500     0.000     0.000    70.876    24.826     0b111    20190618T163156063126
  100      -3.8325      0.00        0.00    0.054187     0.000     0.000    70.727    24.794     0b111    20190618T163157026918
   90      -3.4487      0.00        0.00    0.048906     0.031     0.063    70.518    24.794     0b111    20190618T163157995469
   80      -3.0650      0.00        0.00    0.043625     0.000     0.000    70.258    24.794     0b111    20190618T163158958489
   70      -2.6812      0.00        0.00    0.038375     0.000     0.000    69.870    24.826     0b111    20190618T163159924847
   60      -2.2950      0.00        0.00    0.033063     0.000     0.000    69.414    24.794     0b111    20190618T163200882747
   50      -1.9110      0.50        1.25    0.027756     0.019     0.062    68.849    24.794     0b111    20190618T163201850445
   40      -1.5275      0.00        0.00    0.022500     0.000     0.000    67.889    24.826     0b111    20190618T163202814270
   30      -1.1438      0.00        0.00    0.017250     0.000     0.000    66.304    24.794     0b111    20190618T163203775749
   20      -0.7600      0.00        0.00    0.012025     0.031     0.063    63.202    24.794     0b111    20190618T163204744301
   10      -0.3763      0.00        0.00    0.006750     0.000     0.000    55.741    24.794     0b111    20190618T163205715532
    0      -0.0000      0.00        0.00    0.001500     0.000     0.000    -0.000    24.826     0b111    20190618T163206686111
