Vset[DAC]   V[V]      dVRMS[mV]   dVpp[mV]   I[A]     dIRMS[mA]   dIpp[mA]   R[ohm]   T[C]     State      Timestamp
  130      -4.7762      0.00        0.00    0.043725     0.031     0.062   109.234    30.628       0b0    20190611T125825347745
  120      -4.6750      0.00        0.00    0.042625     0.000     0.000   109.677    30.628       0b0    20190611T125826306575
  110      -4.2840      0.50        1.25    0.038438     0.000     0.000   111.454    30.628       0b0    20190611T125827261730
  100      -3.8944      0.62        1.25    0.034281     0.031     0.063   113.601    30.659       0b0    20190611T125828218028
   90      -3.5050      0.00        0.00    0.030125     0.000     0.000   116.349    30.628       0b0    20190611T125829174925
   80      -3.1139      0.38        1.25    0.025938     0.000     0.000   120.053    30.628       0b0    20190611T125830136047
   70      -2.7237      0.00        0.00    0.021794     0.029     0.063   124.978    30.596       0b0    20190611T125831095032
   60      -2.3311      0.38        1.25    0.017625     0.000     0.000   132.262    30.596       0b0    20190611T125832051720
   50      -1.9413      0.00        0.00    0.013494     0.019     0.063   143.863    30.596       0b0    20190611T125833009841
   40      -1.5525      0.00        0.00    0.009325     0.025     0.063   166.488    30.628       0b0    20190611T125833967288
   30      -1.1638      0.00        0.00    0.005206     0.029     0.062   223.529    30.596       0b0    20190611T125834926741
   20      -0.7737      0.00        0.00    0.001125     0.000     0.000   687.778    30.596       0b0    20190611T125835885985
   10      -0.3850      0.00        0.00    0.000000     0.000     0.000     1.000    30.596       0b0    20190611T125836856992
    0      -0.0000      0.00        0.00    0.000000     0.000     0.000     1.000    30.596       0b0    20190611T125837817684
